Item (General Name),Actual Name,Unit Price,Quantity,Total Price,URL
Drone Goggles ,Walksnail Avatar HD Goggles L Only,$199.99,1,$199.99,https://www.caddxfpv.com/products/walksnail-avatar-hd-goggles-l-only
Camera/Antena/VTX,Walksnail Avatar HD Pro Kit (Dual),$169.00,1,$169.00,https://www.caddxfpv.com/products/walksnail-avatar-hd-pro-kit-dual-antenna
4 Propellers,HQ Prop Ethix S5 Light Grey (2CW+2CCW)-Poly Carbonate,$3.49,3,$10.47,https://www.readymaderc.com/products/details/hq-prop-ethix-s5-cinematic-propeller?srsltid=AfmBOoqpS3iFBhneicRLO4TDucw7YhVlbW31C4zBvQTBZfkv_Lk7zFUf
4 Motors,XING2 2207 1855KV 3-6S / 2755KV 3-5S Brushless FPV Motor for IFlight with 5mm Titanium Alloy Shaft for 5.1inch Propeller RC FPV Drones (4pcs 2207 1855kv),$77.30,1,$77.30,https://www.amazon.com/Brushless-IFlight-Titanium-5-1inch-Propeller/dp/B0DG8QN6KY?th=1
FC+ESC Stack,Speedybee F405 V4 Stack BLS 55A 4-in-1 ESC&FC RC iNAV Betaflight Configure Bluetooth 3-6S FPV 5-8 inch frame Drone parts,$68.33,1,$68.33,https://www.aliexpress.us/item/3256808521625736.html?src=google&gatewayAdapt=glo2usa
.5 Kg Nylon-CF,Fiberon™ PA6-CF20,$39.99,0 (already own),0,https://shop.polymaker.com/products/fiberon-pa6-cf20?variant=43596329287737&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooEZCT3cZew6KhSpcgE2PYBhO1RJA13VqBT6cZQ7D1P8CfT1LHNWk4
.75 Kg of TPU,PolyFlex™ TPU95,$29.99,0 (already own),0,https://shop.polymaker.com/products/polyflex-tpu95?srsltid=AfmBOooIXCCPv5QnSXqfcX7JN4BNmuMQ1Yl41v6gLJdskUztjPoAhvwX&variant=39574341681209
Controller,Pocket Radio Controller (M2),$71.50,1,$71.50,https://radiomasterrc.com/products/pocket-radio-controller-m2
Reciever,RP1 V2 ExpressLRS 2.4ghz Nano Receiver,$18.99,1,$18.99,https://radiomasterrc.com/products/rp1-expresslrs-2-4ghz-nano-receiver
Battery,Black Series V2 6S 1300mAh 130C LiPo Battery with XT60 Connector,$29.99,1,$29.99,https://rotorriot.com/products/cnhl-black-series-22-2v-6s-1300mah-100c-lipo-battery-xt60?srsltid=AfmBOopUgHqu0xrDUvtaQr8n18GPmJgPS87E21oDUQbKZi65WWVpiV0h
Battery to Stack Cable,XT60H 12/14AWG Male/Female Pigtail - Black (3pcs),$9.99,1,$9.99,https://www.getfpv.com/xt60h-12-14awg-male-female-pigtail-black.html?vid=13644
Battery Strap,"Kevlar Fly High FPV Lipo Strap for 5"" quads 250mm",$5.00,2,$10.00,https://flyhighfpv.com/products/kevlar-lipo-straps?variant=42428394307773&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoozHgXdM-2HsTUz3gc6ptbjEY6biMFLwh__Q4-PYUZQDaH1XgXkZz4
Batteries for Controller,Molicel M35A 18650 3500mAh 10A Battery,$6.99,2,$13.98,https://18650battery.com/products/molicel-m35a-18650-3500mah-10a-battery?variant=48752348758326&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorZv8jdqPARdFKoxa6n8cFLQjbUeAm_l-Q1zIckt1snm_xNVyaNk-c
Battery Charger,"608 AC Lipo Battery Charger,AC 50W/DC 200W Dual Mode RC Discharger/Charger",$64.99,1,$64.99,https://isdtshop.com/products/isdt-608ac
